"Time Period","National Great Britain","National England and Wales","National Scotland","Sector London and South East","Sector Long Distance","Sector Regional and Scotland","Franchised Avanti West Coast","Franchised c2c","Franchised Caledonian Sleeper","Franchised Chiltern Railways","Franchised CrossCountry","Franchised East Midlands Railway","Franchised Elizabeth line","Franchised Govia Thameslink Railway","Franchised Great Western Railway","Franchised Greater Anglia","Franchised London North Eastern Railway","Franchised London Overground","Franchised Merseyrail","Franchised Northern Trains","Franchised ScotRail","Franchised South Western Railway","Franchised Southeastern","Franchised TfW Rail","Franchised TransPennine Express","Franchised West Midlands Trains","Non-Franchised Grand Central","Non-Franchised Heathrow Express","Non-Franchised Hull Trains","Non-Franchised Lumo"
"Apr 2024 to Mar 2025 (Period 08)","5.89","6.17","3.38","4.71","8.52","7.15","10.44","2.56","3.59","3.32","11.52","6.74","2.17","6.81","6.97","1.41","4.16","5.52","4.95","10.17","3.38","5.20","4.24","9.54","6.02","6.70","8.47","3.05","9.47","6.72"
"Apr 2024 to Mar 2025 (Period 09)","8.63","9.15","3.91","7.76","15.61","8.54","20.71","1.51","8.43","4.42","22.13","9.32","9.12","9.76","11.22","3.54","15.68","7.10","6.15","10.01","3.89","10.17","5.80","13.65","8.73","10.00","12.70","6.39","13.39","16.12"
"Apr 2024 to Mar 2025 (Period 10)","6.81","7.11","4.04","5.33","12.56","7.90","18.40","2.58","9.02","4.11","18.36","6.84","2.91","8.31","7.50","1.54","8.64","3.85","4.75","10.71","4.02","5.99","5.65","10.32","12.50","8.63","12.23","1.65","5.03","13.46"
"Apr 2024 to Mar 2025 (Period 11)","5.89","6.16","3.24","5.12","10.86","6.02","16.15","3.04","8.53","2.39","11.41","6.83","9.83","6.51","4.77","2.66","11.24","4.78","8.65","7.78","3.23","4.88","3.93","8.39","9.61","4.35","15.40","2.94","9.38","14.61"
"Apr 2024 to Mar 2025 (Period 12)","4.47","4.72","2.12","4.53","7.04","3.85","10.25","3.11","10.06","3.24","5.44","4.28","5.56","7.12","4.18","2.64","6.86","3.05","5.17","4.43","2.10","3.79","3.36","5.68","7.23","4.04","8.02","3.50","8.77","5.51"
"Apr 2024 to Mar 2025 (Period 13)","4.17","4.41","1.89","4.30","6.09","3.56","7.41","3.67","7.39","1.72","7.78","4.55","4.04","5.75","5.05","2.66","5.03","3.96","3.83","3.49","1.87","4.22","3.87","6.08","3.49","4.19","7.64","4.30","2.06","8.40"
"Apr 2025 to Mar 2026 (Period 01)","4.18","4.41","2.03","4.03","7.29","3.77","7.14","2.68","7.33","1.70","10.92","3.94","3.40","5.11","5.41","1.54","7.79","4.58","4.18","3.95","2.01","5.57","2.46","6.55","5.86","3.87","9.50","2.51","10.49","10.19"
"Apr 2025 to Mar 2026 (Period 02)","4.41","4.63","2.31","4.07","8.03","4.16","11.58","2.88","5.66","1.72","9.37","3.95","3.85","5.00","4.89","2.91","6.52","4.83","4.28","4.61","2.30","3.22","4.41","6.45","8.27","4.40","8.80","1.84","5.07","11.40"
"Apr 2025 to Mar 2026 (Period 03)","4.92","5.23","2.13","4.99","8.96","4.00","12.69","2.34","15.34","3.53","14.31","6.82","3.27","7.36","5.37","2.06","3.97","6.10","3.69","4.83","2.09","5.67","2.89","5.89","5.22","4.26","7.32","4.54","6.14","5.38"
"Apr 2025 to Mar 2026 (Period 04)","5.96","6.29","2.96","5.71","11.39","5.23","18.26","2.04","13.10","3.20","18.44","5.33","3.82","7.38","7.95","2.18","7.13","5.38","4.16","4.72","2.93","8.52","4.34","7.87","9.22","8.02","10.33","1.98","8.43","9.51"
"Apr 2025 to Mar 2026 (Period 05)","5.57","5.73","4.10","5.46","9.48","4.94","11.60","2.90","8.54","2.99","11.25","6.50","3.73","9.00","4.88","1.85","12.67","4.71","4.14","5.95","4.09","6.36","3.76","5.32","8.05","5.07","17.93","2.30","9.03","13.62"
"Apr 2025 to Mar 2026 (Period 06)","4.90","5.21","2.08","5.22","7.87","3.81","8.17","1.74","18.56","3.46","11.02","5.06","4.39","8.71","6.28","2.54","4.80","4.61","3.73","5.22","2.03","4.10","3.55","3.90","6.31","3.79","6.04","3.92","4.42","3.99"
